licitacao;proponente; situacao
8450118;27252696000108;1
8450118;19210207000119;1
8450618;3817043000152;1
8450618;8160290000142;1
8450618;9478023000180;1
8450618;9210219000190;1
8450918;3817043000152;1
8450918;8160290000142;1
8450918;10831701000126;1
8450918;12305387000173;1
8450918;9478023000180;1
8450918;9210219000190;1
8450918;15218561000139;1
8451118;19594219000194;1
8451118;26874029000196;1
8451118;4949494000106;1
8455618;27039010000197;1
8456718;35590090000100;1
8467118;12679494000161;1
8467118;15348142000111;1
8467118;22226628000142;1
8467118;7190090000170;1
8468418;24169503000153;1
8469418;15218934000171;0
8469418;29048665000157;0
8469418;22814342000188;1
8469518;11899853000123;0
8469518;21408538000100;0
8469518;14280894000125;1
8469518;5514490000168;1
8472818;7800739000127;1
8472818;14222882000144;1
8496418;31094999000109;0
8496418;35586809000121;0
8496418;29884994000138;0
8496418;7563850000147;1
8497518;14660415000104;1
8497818;31900447000140;0
8497818;2069012000106;1
8499818;7940834000126;0
8499818;30233033000142;1
8500218;24929831000100;1
8503118;15807855000104;1
8506218;29829630000155;1
8508918;12293710000136;1
8508918;29521780000105;1
8517618;19500415000152;1
8524618;8438654000103;0
8524618;27944573000120;0
8524618;20930189000129;1
8534618;17866080000165;1
8542218;7588558000189;1
8544518;1084111000196;1
8545318;81618753000167;0
8545318;61100244000130;1
8546018;17640366000128;1
8548218;2914690000110;0
8548218;19918905000173;0
8548218;78126950000154;0
8548218;19580923000198;0
8548218;13344533000132;0
8548218;7148726000115;0
8548218;16501916000165;1
8548218;18995457000149;1
8555218;29482689000110;0
8555218;21645432000120;0
8555218;17560794000140;0
8555218;18917544000188;0
8555218;10402165000143;0
8555218;27776149000113;1
8555918;11362645000190;1
8560018;27248331000100;1
8560018;18988344000116;1
8561318;8602948000129;0
8561318;7148726000115;1
8561318;18995457000149;1
8561318;19918905000173;1
8581718;14977470000114;1
8583118;20256412000102;0
8583118;12102978000143;0
8583118;15233791000177;0
8583118;26757272000124;0
8583118;21798708000100;1
8605718;7609311000100;0
8605718;13777403000193;0
8605718;11170603000158;0
8605718;11150150000106;0
8605718;15233791000177;1
8613018;7833113000117;0
8613018;7046164000107;0
8613018;7220883000194;1
8637118;11150150000106;0
8637118;12102978000143;0
8637118;20284072000115;0
8637118;15233791000177;0
8637118;13777403000193;1
8637518;11170603000158;0
8637518;11150150000106;0
8637518;13777403000193;1
8640918;35422021000180;1
8640918;13440646000131;1
8640918;7190090000170;1
8646518;19420845000164;0
8646518;7609311000100;0
8646518;3278968000172;0
8646518;12102978000143;0
8646518;20256412000102;1
8651818;12328544000166;1
8660018;10737596000160;1
8680618;14977470000114;1
8703918;63478895000194;1
8703918;7897039000100;1
8703918;12710916000114;1
8706718;8134975000114;1
8706718;63478895000194;1
8706718;12710916000114;1
8706718;11427407000116;1
8706718;7897039000100;1
8706718;26873236000126;1
8712418;9084396000177;0
8712418;11246831000164;1
8718118;4023803000112;1
8722218;5797987000130;0
8722218;19918905000173;0
8722218;18296153000193;0
8722218;14209485000132;0
8722218;7239645000120;1
8722218;16826043000160;1
8722218;12710916000114;1
8722218;18995457000149;1
8722218;8321484000182;1
8722218;10719048000108;1
8722218;2527531000162;1
8722218;14402647000154;1
8722218;15483303000180;1
8722218;4679119000193;1
8722218;7897039000100;1
8722718;11938541000181;0
8722718;19918905000173;0
8722718;5797987000130;0
8722718;10719048000108;0
8722718;7239645000120;0
8722718;6281452000175;1
8722718;8321484000182;1
8722718;11427407000116;1
8723218;4519901000145;1
8730718;27197452000161;0
8730718;30559723000196;0
8730718;2596872000190;1
8731118;15348142000111;1
8731118;22932728000194;1
8731818;19353084000175;1
8735418;13258973000177;0
8735418;7189346000129;1
8736418;27988901000190;0
8736418;27623174000167;0
8736418;5439901000106;1
8737118;24606073000190;1
8737318;20672954000158;1
8742918;10744571000194;0
8742918;22255130000108;0
8742918;28099674000104;1
8747618;15348142000111;0
8747618;7358710000137;1
8747618;4826424000160;1
8747618;22226628000142;1
8751218;4099366000110;0
8751218;12040718000190;1
8753318;11500957000113;1
8753318;19904801000100;1
8758018;18127470000186;1
8762318;18126667000109;1
8763218;7851888000115;0
8763218;20754575000107;0
8763218;4949494000106;0
8763218;7324070000144;0
8763218;16417577000133;0
8763218;5301712000164;0
8763218;26872426000129;0
8763218;27351912000164;0
8763218;40764896000108;1
8763618;17589700000166;0
8763618;31900447000140;1
8763818;70097282000172;1
8763818;10649272000170;1
8764018;31900447000140;1
8764218;7190090000170;0
8764218;29903019000120;0
8764218;22226628000142;1
8764218;15348142000111;1
8764218;1091310000121;1
8764218;19894881000160;1
8779318;5514737000146;1
8779318;21636341000128;1
8779318;5445711000193;1
8779318;40945446000103;1
8779518;19580923000198;1
8779518;3538267000125;1
8783918;21514649000443;0
8783918;13167781000155;1
8786118;4462687000138;1
8786118;21778760000102;1
8786118;7227808000155;1
8786818;4462687000138;0
8786818;21778760000102;1
8787618;30250913000127;0
8787618;4462687000138;0
8787618;21778760000102;1
8789818;15364149000127;0
8789818;23587584000149;0
8789818;27512389000100;0
8789818;19293019000100;0
8789818;21240497000195;1
8810318;35715234000876;0
8810318;10754828000199;1
8813918;683754000193;1
8814618;683754000193;1
8819718;1658745000105;1
8829518;30233033000142;0
8829518;19854079000146;1
8829618;4949494000106;1
8829618;11427407000116;1
8829618;8321484000182;1
8829618;19918905000173;1
8829618;7239645000120;1
8829618;11938541000181;1
8829718;24565199000163;0
8829718;22526394000159;1
8830318;11938541000181;1
8830318;8321484000182;1
8830318;19918905000173;1
8830318;14402647000154;1
8830318;7239645000120;1
8832518;30305517000150;0
8832518;17572003000100;0
8832518;4679119000193;1
8832518;11938541000181;1
8832518;20008831000117;1
8832518;11427407000116;1
8832518;15501731000198;1
8832518;14402647000154;1
8832518;12710916000114;1
8832518;31499939000176;1
8832618;10719048000108;1
8832618;12710916000114;1
8832618;7897039000100;1
8832618;9478023000180;1
8833418;1663156000115;0
8833418;61485900000756;1
8841318;4866656000142;0
8841318;9127069001127;1
8846418;24863266000126;1
8849418;24863266000126;1
8854918;12878533000150;1
8855618;15987562000148;1
8862718;25080506000189;0
8862718;4462687000138;1
8862718;5672519000130;1
8867818;9146028000106;0
8867818;3995452000149;0
8867818;30008074000135;0
8867818;118689000153;0
8867818;2620622000148;1
8867818;1106085000150;1
8868618;20754575000107;1
8870318;35496595000100;1
8871018;8293706000109;0
8871018;3193796000134;1
8871318;9234429000118;1
8871318;2938901000154;1
8871718;3051188000195;0
8871718;2938901000154;1
8872018;27220692000130;0
8872018;9234429000118;1
8872018;2938901000154;1
8872018;7803245000104;1
8872218;27220692000130;0
8872218;2938901000154;1
8872618;27084076000107;0
8872618;27545583000192;0
8872618;13922872000159;0
8872618;7190090000170;0
8872618;7358710000137;0
8872618;15348142000111;0
8872618;2401421000150;1
8872618;4826424000160;1
8872918;2938901000154;1
8872918;9234429000118;1
8873018;9297961000184;1
8873118;11414798000134;1
8873118;9297961000184;1
8873218;5901771000920;1
8873218;14275578000165;1
8878118;24883552000153;1
8878418;13258973000177;1
8878518;5901771000920;1
8878518;118689000153;1
8878518;7318707000190;1
8878518;4866656000142;1
8879918;8601197000126;1
8880818;5301712000164;0
8880818;9004901000126;1
8880818;8228010000433;1
8882818;18044711000123;1
8882818;4949494000106;1
8885818;27501690000119;0
8885818;20750009000127;1
8902818;11622590000100;1
8908218;11622590000100;1
8909318;12927760000128;0
8909318;2502563000103;1
8913118;93785822000106;0
8913118;4866656000142;1
8915318;70104344000126;1
8915318;22465640000100;1
8918818;14977470000114;1
8920518;1106085000150;1
8921118;18940113000132;1
8922218;30624794000125;1
8922718;8160290000142;1
8922718;9210219000190;1
8922818;9210219000190;1
8923318;22570237000140;1
8928218;3480719000165;1
8931118;3680663000192;1
8931118;18709157000156;1
8932118;31869507000100;1
8941818;5453608000195;1
8944618;9181832000126;1
8945818;22144012000122;1
8946518;22144012000122;1
8949818;27602210000106;1
8950918;13510135000149;1
8951818;35419936000136;1
8952518;27123365000160;0
8952518;21969026000112;0
8952518;40945446000103;0
8952518;14801101000176;0
8952518;14523449000149;1
8952618;26727555000123;1
8952718;26727555000123;1
8954118;2956445000175;1
8957718;5475046000180;0
8957718;27776149000113;0
8957718;10744571000194;0
8957718;18917544000188;1
8958118;15002982000128;1
8958318;15002982000128;1
8958418;31900447000140;0
8958418;10744571000194;0
8958418;2069012000106;0
8958418;5475046000180;0
8958418;18917544000188;1
8958618;4078841000172;1
8959718;4078841000172;1
8960418;35419936000136;1
8960918;8586059000115;0
8960918;22526394000159;1
8960918;24565199000163;1
8962518;2349757000110;1
8963318;21181254000123;1
8964818;11097617000193;0
8964818;40938508000150;1
8965718;8909302000199;0
8965718;13687471000161;1
8966818;9478023000180;1
8966818;15659814000100;1
8969318;13258973000177;1
8969318;198693000179;1
8970818;10359279000158;1
8970818;20385922000171;1
8970818;9582277000144;1
8975018;14909605000104;0
8975018;35484971000139;0
8975018;19904801000100;0
8975018;6369584000153;0
8975018;16779575000194;0
8975018;20953509000166;0
8975018;27015710000141;0
8975018;17505644000134;1
8975018;11500957000113;1
8975018;19297022000193;1
8975418;4861804000136;1
8975418;9379442000165;1
8975518;9379442000165;1
8975518;4861804000136;1
8983018;28546771000106;1
8983018;10826843000103;1
8997118;29775313000101;0
8997118;9210219000190;1
8997118;28675331000140;1
8997118;26156923000120;1
8997118;17290835000126;1
8997118;7365058000188;1
8997218;29775313000101;0
8997218;20226846000151;1
9001018;8321484000182;0
9001018;18995457000149;0
9001018;19918905000173;0
9001018;10823380000118;1
9001818;8134975000114;1
9001918;12710916000114;1
9002118;17572003000100;1
9002118;30305517000150;1
9002218;30305517000150;1
9002218;17572003000100;1
9010018;17460970000172;1
9010018;11919367000120;1
9010018;6004160000195;1
9010018;5236335000127;1
9010018;4618968000137;1
9010018;14608278000150;1
9010718;2911193000168;0
9010718;17290835000126;1
9010718;9210219000190;1
9010718;28675331000140;1
9011418;19580923000198;0
9011418;19594219000194;1
9014718;13777403000193;0
9014718;20256412000102;0
9014718;35586809000121;0
9014718;2349757000110;1
9014818;35586809000121;0
9014818;13777403000193;0
9014818;2349757000110;1
9014918;20284072000115;0
9014918;2349757000110;0
9014918;35586809000121;0
9014918;13777403000193;1
9016618;2977362000162;0
9016618;29775313000101;0
9016618;70104344000126;1
9016618;16682179000144;1
9016618;17290835000126;1
9016918;29775313000101;0
9016918;70104344000126;1
9016918;16682179000144;1
9016918;26156923000120;1
9016918;17290835000126;1
9021518;31869507000100;1
9022318;31318644000156;1
9022418;24644790000106;0
9022418;21399398000150;1
9022818;19835542000102;0
9022818;19918905000173;0
9022818;13426195000188;1
9022818;6281452000175;1
9022818;15659814000100;1
9022818;18995457000149;1
9036218;26950940000135;1
9039818;22526394000159;1
9039818;30531122000175;1
9045418;17290835000126;1
9046018;29775313000101;1
9046218;70104344000126;0
9046218;26156923000120;1
9046218;17290835000126;1
9046318;70104344000126;0
9046318;17290835000126;1
9046318;26156923000120;1
9046518;7860929000130;1
9046518;13045626000166;1
9046518;15097130000161;1
9047218;25425949000164;0
9047218;6301110000170;0
9047218;7971772000110;1
9056218;11103448000157;1
9056418;11971243000193;1
9057318;8571770000104;1
9058618;35715234000876;1
9062418;18209965001630;1
9062518;11791908000187;0
9062518;35496595000100;1
9063118;21601339000113;1
9063918;7278981000182;0
9063918;21933548000164;1
9063918;20754575000107;1
9063918;26837871000158;1
9063918;28404768000140;1
9064218;40945446000103;0
9064218;27123365000160;0
9064218;17651770000105;1
9068018;13344533000132;0
9068018;9632333000108;1
9068118;9632333000108;1
9068518;28167665000103;1
9071618;7897039000100;1
9071618;12710916000114;1
9071618;9478023000180;1
9071818;28676712000144;1
9071918;21187875000114;0
9071918;20754575000107;0
9071918;24558478000108;0
9071918;18044711000123;0
9071918;29977481000171;0
9071918;19594219000194;0
9071918;12733085000104;1
9072018;8345382000105;0
9072018;40979684000130;1
9072118;13426195000188;0
9072118;18379670000126;0
9072118;14209485000132;0
9072118;4949494000106;0
9072118;20008831000117;0
9072118;19918905000173;1
9072118;4679119000193;1
9072118;8321484000182;1
9072118;8449096000181;1
9072118;14402647000154;1
9072118;11938541000181;1
9072118;11427407000116;1
9072218;4679119000193;1
9072218;9478023000180;1
9072218;8160290000142;1
