protocolo;numero_licitacao;modalidade;cd_ugestora;valor_licitado;ano_homologacao;cnpj_proponente;valor_proposta;situacao_proposta
Doc. 00234/20;00003/2020;Pregao Presencial;201195;800000;2020;3,31607E+13;2469960;1
Doc. 00234/20;00003/2020;Pregao Presencial;201195;16599000;2020;6,34789E+13;388350;1
Doc. 00236/20;00002/2020;Pregao Presencial;201042;139600494;2020;4,61256E+12;25000000;1
Doc. 00243/19;00001/2019;Tomada de Precos;201138;117536348;2019;2,23718E+13;4800000;1
Doc. 00245/19;00001/2019;Tomada de Precos;201166;58253000;2019;1,65875E+12;28591549;1
Doc. 00246/19;00021/2018;Pregao Presencial;601044;58253000;2019;1,3259E+13;7701200;1
Doc. 00249/19;00002/2019;Pregao Presencial;201138;58253000;2019;4,1202E+11;16072440;1
Doc. 00255/19;00001/2019;Pregao Presencial;601013;200000;2019;4,65074E+12;12000000;1
Doc. 00255/19;00001/2019;Pregao Presencial;601013;6200000;2019;6,18105E+12;11820000;0
Doc. 00261/19;00002/2019;Pregao Presencial;201016;2500000;2019;1,14638E+13;7697800;1
Doc. 00261/19;00002/2019;Pregao Presencial;201016;153135060;2019;2,18937E+13;5000000;1
Doc. 00261/19;00002/2019;Pregao Presencial;201016;6166800;2019;2,71679E+13;2500000;1
Doc. 00261/19;00002/2019;Pregao Presencial;201016;153135060;2019;2,76309E+13;2700000;1
Doc. 00261/19;00002/2019;Pregao Presencial;201016;586000;2019;2,76534E+13;5656800;1
Doc. 00261/19;00002/2019;Pregao Presencial;201016;92153076;2019;2,77322E+13;2750000;1
Doc. 00261/19;00002/2019;Pregao Presencial;201016;46688000;2019;2,77412E+13;3690500;1
Doc. 00261/19;00002/2019;Pregao Presencial;201016;900000;2019;2,77497E+13;2500000;1
Doc. 00261/19;00002/2019;Pregao Presencial;201016;92153076;2019;3,25929E+13;2750000;1
Doc. 00265/19;00002/2019;Pregao Presencial;201201;6565654;2019;5,45361E+12;20330000;1
Doc. 00268/19;00003/2019;Pregao Presencial;201201;1500000;2019;1,77925E+13;18000000;1
Doc. 00300/20;00001/2020;Pregao Presencial;201061;42781800;2020;2,70738E+13;17944855;1
Doc. 00300/20;00001/2020;Pregao Presencial;201061;720000;2020;2,83025E+13;25713568;1
Doc. 00301/20;00001/2020;Pregao Presencial;602168;43659500;2020;1,33074E+13;25600000;1
Doc. 00307/20;00001/2020;Pregao Presencial;201168;3948600;2020;1,33074E+13;55600000;1
Doc. 00310/19;00001/2019;Pregao Presencial;201082;2009700;2019;8,79203E+12;58995640;1
Doc. 00310/19;00001/2019;Pregao Presencial;201082;60433608;2019;2,50082E+13;72749990;0
Doc. 00310/19;00001/2019;Pregao Presencial;201082;1923900;2019;3,0221E+13;74389450;0
Doc. 00322/19;00001/2019;Pregao Presencial;201075;12200000;2019;1,29088E+13;1810500;1
Doc. 00322/19;00001/2019;Pregao Presencial;201075;3157100;2019;1,34262E+13;215000;1
Doc. 00322/19;00001/2019;Pregao Presencial;201075;3157100;2019;1,51605E+13;93600;1
Doc. 00322/19;00001/2019;Pregao Presencial;201075;3157100;2019;2,22654E+13;2019900;1
Doc. 00322/19;00001/2019;Pregao Presencial;201075;3157100;2019;2,25264E+13;3244800;1
Doc. 00325/19;00002/2019;Pregao Presencial;201075;10800000;2019;1,55145E+13;4192000;0
Doc. 00325/19;00002/2019;Pregao Presencial;201075;13990000;2019;2,64356E+13;1440000;1
Doc. 00332/20;00004/2019;Tomada de Precos;201143;3948600;2020;8,43865E+12;19934585;1
Doc. 00338/20;00005/2019;Tomada de Precos;201143;6895300;2020;8,43865E+12;27628836;1
Doc. 00344/19;00001/2019;Pregao Presencial;201089;61260000;2019;4,09797E+13;4095000;1
Doc. 00345/19;00002/2019;Pregao Presencial;201089;61260000;2019;7,33462E+12;2650000;1
Doc. 00346/19;00003/2019;Pregao Presencial;201089;103395610;2019;4,65472E+12;1702700;0
Doc. 00346/19;00003/2019;Pregao Presencial;201089;103395610;2019;1,92425E+13;1678600;0
Doc. 00346/19;00003/2019;Pregao Presencial;201089;103395610;2019;1,98355E+13;70000;1
Doc. 00346/19;00003/2019;Pregao Presencial;201089;103395610;2019;2,11879E+13;1281800;0
Doc. 00346/19;00003/2019;Pregao Presencial;201089;1500000;2019;2,22654E+13;1554700;0
Doc. 00346/19;00003/2019;Pregao Presencial;201089;1300000;2019;2,25264E+13;672600;1
