 09739/14;2,02009E+12;Perdedora
 09739/14;1,20681E+13;Perdedora
 09739/14;1,12684E+13;Vencedora
 09741/14;4,15777E+13;Perdedora
 09741/14;2,02009E+12;Perdedora
 09741/14;1,5408E+13;Vencedora
 09743/14;1,39895E+11;Perdedora
 09743/14;1,20681E+13;Perdedora
 09743/14;1,12684E+13;Vencedora
 09744/14;5,80072E+13;Vencedora
 09744/14;2,12676E+13;Perdedora
 09744/14;8,61076E+13;Perdedora
 09744/14;1,14016E+13;Perdedora
 09744/14;7,08138E+12;Perdedora
 09744/14;5,13504E+13;Perdedora
 09750/14;1,12684E+13;Perdedora
 09750/14;1,12684E+13;Perdedora
 09750/14;1,39895E+11;Vencedora
 10854/14;2,42698E+13;Vencedora
 16647/14;2,89604E+12;Vencedora
 26604/14;1,12684E+13;Vencedora
 26605/14;8,70115E+12;Vencedora
 26959/14;3,5571E+13;Vencedora
 30128/14;1,34483E+13;Vencedora
 09664/14;1,12684E+13;Vencedora
 09666/14;1,12684E+13;Vencedora
 37261/14;4,12232E+12;Perdedora
 37261/14;1,12684E+13;Perdedora
 37261/14;1,39895E+11;Vencedora
 37262/14;5,80072E+13;Vencedora
 37262/14;2,12676E+13;Perdedora
 37262/14;8,61076E+13;Perdedora
 37262/14;1,14016E+13;Perdedora
 37262/14;7,08138E+12;Perdedora
 37262/14;5,13504E+13;Perdedora
 37263/14;4,12232E+12;Perdedora
 37263/14;1,12684E+13;Perdedora
 37263/14;1,39895E+11;Vencedora
 37264/14;1,12684E+13;Perdedora
 37264/14;4,12232E+12;Perdedora
 37264/14;1,39895E+11;Vencedora
 37265/14;4,12232E+12;Perdedora
 37265/14;1,12684E+13;Perdedora
 37265/14;1,39895E+11;Vencedora
 37268/14;4,12232E+12;Perdedora
 37268/14;1,12684E+13;Perdedora
 37268/14;1,39895E+11;Vencedora
 40116/14;2,00337E+13;Vencedora
 43260/14;1,39895E+11;Vencedora
 11709/14;1,5408E+13;Perdedora
 11709/14;1,20681E+13;Vencedora
 00033/15;8,70115E+12;Vencedora
 00035/15;8,70115E+12;Vencedora
 00048/15;5,80072E+13;Vencedora
 00048/15;2,12676E+13;Perdedora
 00048/15;8,61076E+13;Perdedora
 00048/15;1,14016E+13;Perdedora
 00048/15;7,08138E+12;Perdedora
 00048/15;5,13504E+13;Perdedora
 00288/15;1,49767E+13;Vencedora
 03584/15;1,49767E+13;Perdedora
 03584/15;8,67303E+12;Perdedora
 03584/15;8,70115E+12;Vencedora
 16620/15;1,12684E+13;Perdedora
 16620/15;1,05464E+13;Perdedora
 16620/15;1,49767E+13;Vencedora
 18907/15;1,52463E+12;Perdedora
 18907/15;1,41408E+13;Vencedora
 19210/15;5,80072E+13;Vencedora
 19210/15;2,12676E+13;Perdedora
 19210/15;8,61076E+13;Perdedora
 19210/15;1,14016E+13;Perdedora
 19210/15;7,08138E+12;Perdedora
 19210/15;5,13504E+13;Perdedora
 18907/15;6,2039E+12;Vencedora
 31204/15;1,84305E+13;Vencedora
 31205/15;1,84305E+13;Vencedora
 09276/15;8,70115E+12;Vencedora
 46567/15;1,5408E+13;Perdedora
 46567/15;1,84305E+13;Vencedora
 51382/15;1,84305E+13;Vencedora
 51383/15;1,5408E+13;Perdedora
 51383/15;8,70115E+12;Vencedora
 15149/15;1,94208E+13;Perdedora
 15149/15;1,84305E+13;Perdedora
