ident_licit;cnpj_proponente;situacao_proposta
742520;1,95E+13;0
743220;1,46E+13;1
745320;2,91E+13;1
757820;3,16E+13;1
762220;9,61E+12;1
762220;8,98E+12;1
762220;8,94E+12;1
762220;2,97E+13;1
762220;1,89E+13;1
762220;2,42E+13;1
219520;3,06E+13;0
219520;3,27E+13;1
775020;2,69E+13;0
775020;4,88E+12;0
775020;9,08E+12;0
775020;2,47E+13;0
775020;3,46E+13;1
778220;2,69E+13;0
778220;4,88E+12;0
778220;9,08E+12;0
778220;2,47E+13;0
778220;3,46E+13;1
781620;1,11E+13;1
788120;3,07E+13;1
801520;2,36E+13;1
810820;2,62E+13;1
819020;3,44E+12;0
819020;2,89E+13;1
819720;3,16E+13;0
819720;3,12E+13;1
820220;3,16E+13;1
820320;3,16E+13;1
822520;2,49E+13;1
851520;1,21E+13;0
851520;1,07E+13;0
851520;1,67E+13;0
851520;2,36E+13;0
851520;2,28E+13;1
857320;2,68E+13;1
860220;3,08E+13;0
860220;2,12E+13;0
860220;2,87E+13;1
869420;2,91E+13;1
906920;2,34E+13;0
906920;3,41E+12;1
915320;3,31E+13;1
915920;2,25E+13;0
915920;2,51E+13;0
915920;1,94E+13;0
915920;3,34E+12;1
257620;1,06E+13;1
956220;1,57E+13;1
964420;7,84E+12;1
965820;3,16E+13;0
965820;1,43E+13;1
263520;3,23E+12;1
982820;1,03E+13;1
983420;1,21E+13;1
984220;7,48E+12;1
266320;2,99E+13;1
995320;3,03E+13;1
997920;1,85E+13;1
267220;3,20E+12;1
1004820;2,66E+13;1
1005120;2,78E+13;0
1005120;2,66E+13;1
1005520;2,66E+13;1
1009120;3,52E+13;0
1009120;9,58E+12;0
1009120;2,68E+13;1
1026320;7,61E+12;1
1028820;2,99E+13;1
1044520;2,98E+13;1
288320;2,20E+13;1
1063120;8,31E+12;1
1064620;3,50E+13;1
1072920;1,06E+13;1
1080220;2,24E+13;1
1088020;2,00E+13;1
1094220;2,40E+13;1
1097620;1,76E+13;1
1099020;2,43E+13;1
1099920;2,43E+13;1
1100520;2,43E+13;1
1102920;1,76E+13;1
1105120;1,89E+13;1
1110020;2,00E+13;1
1111120;1,10E+13;1
1112120;2,49E+13;1
1112920;8,44E+12;0
1112920;3,50E+13;0
1112920;1,74E+13;0
1112920;2,21E+13;1
1115420;1,81E+13;1
1118320;2,98E+13;1
1118520;5,82E+12;1
1125020;3,12E+13;1
1135920;3,11E+13;1
1142620;3,03E+13;1
1146720;3,56E+13;1
1152920;5,56E+12;1
1154220;2,16E+13;0
1154220;2,02E+13;0
1154220;3,11E+13;1
1154320;2,50E+12;0
1154320;1,74E+13;0
1154320;3,19E+13;1
1155420;1,74E+13;0
1155420;2,50E+12;0
1155420;3,19E+13;1
1166020;7,25E+12;1
1166320;1,76E+13;0
1166320;2,91E+13;1
1178920;9,57E+12;1
1179220;3,56E+13;1
1182320;3,44E+12;1
329920;3,11E+13;1
1190220;5,29E+12;1
1190320;1,26E+13;1
1220020;1,09E+13;0
1220020;1,58E+13;1
1224620;2,75E+13;0
1224620;9,34E+12;0
1224620;2,24E+13;1
1232520;2,16E+13;0
1232520;9,18E+12;0
1232520;1,37E+13;1
346320;1,03E+13;1
1244020;2,51E+13;0
1244020;3,34E+12;1
1245720;3,02E+13;0
1245720;2,25E+13;0
1245720;1,94E+13;0
1245720;3,34E+12;0
1245720;2,51E+13;1
1247120;5,45E+12;1
1247220;7,56E+12;1
1268520;2,39E+13;0
1268520;2,95E+13;1
1272720;2,47E+13;1
356220;2,25E+13;0
356220;1,74E+13;0
356220;3,06E+13;0
356220;8,44E+12;0
356220;2,98E+13;0
356220;2,40E+13;0
356220;1,12E+13;1
1275420;8,16E+12;1
1276020;8,16E+12;1
358220;3,23E+12;1
359120;3,06E+13;1
359120;9,51E+12;1
1287420;2,75E+13;1
1296520;2,03E+13;0
1296520;2,24E+13;0
1296520;1,52E+13;1
1299620;1,65E+12;1
1300320;2,67E+13;0
1300320;2,03E+13;1
1302220;1,78E+13;0
1302220;2,99E+13;1
1305220;1,56E+13;1
1306020;3,12E+13;0
1306020;3,38E+13;0
1306020;2,75E+13;0
1306020;1,75E+13;0
1306020;2,16E+13;1
1306920;2,65E+13;0
1306920;2,09E+13;0
1306920;1,89E+13;0
1306920;2,16E+13;0
1306920;3,50E+13;0
1306920;3,38E+13;1
1318620;2,40E+13;1
1322020;2,38E+13;1
1327820;1,38E+13;0
1327820;2,77E+13;0
1327820;1,12E+13;1
1328120;9,26E+12;1
1339920;3,07E+13;1
1343720;1,86E+13;0
1343720;1,09E+13;0
1343720;2,03E+13;0
1343720;5,44E+12;0
1343720;3,50E+13;0
1343720;3,52E+13;0
1343720;3,08E+13;1
1344420;9,26E+12;1
1359520;2,66E+13;1
1360120;2,66E+13;1
1366320;1,43E+13;0
1366320;2,68E+13;1
1369920;3,39E+13;1
1392020;1,03E+13;0
1392020;1,43E+13;1
1392120;1,43E+13;1
1396620;1,38E+13;0
1396620;1,86E+13;0
1396620;2,09E+13;0
1396620;3,50E+13;0
1396620;2,67E+13;0
1396620;1,12E+13;0
1396620;2,67E+13;0
1396620;1,52E+13;0
1396620;2,11E+13;0
1396620;1,76E+13;1
1410620;8,94E+12;1
1410620;2,42E+13;1
1423120;9,63E+12;1
1432420;3,55E+13;1
1434020;9,33E+12;1
1441620;1,07E+13;1
1464820;2,42E+13;1
1464820;2,97E+13;1
1464820;8,98E+12;1
1464820;8,94E+12;1
426820;9,22E+12;0
426820;4,09E+13;1
427020;1,35E+13;0
427020;5,05E+12;0
427020;4,45E+12;0
427020;9,33E+12;1
1475020;7,16E+12;1
1482220;3,50E+13;0
1482220;1,94E+13;0
1482220;1,12E+13;0
1482220;3,19E+13;1
1493820;1,73E+13;0
1493820;2,77E+13;0
1493820;1,59E+13;0
1493820;1,78E+13;1
431020;8,16E+12;0
431020;7,01E+13;0
431020;8,70E+12;1
1499020;3,61E+13;1
431820;1,44E+13;1
431820;5,48E+12;1
1507620;2,26E+13;0
1507620;2,99E+13;0
1507620;3,12E+13;1
1507820;2,78E+13;1
1507820;9,20E+12;1
1524920;2,77E+13;0
1524920;1,59E+13;1
1525420;2,28E+13;1
1527920;3,50E+13;0
1527920;2,03E+13;0
1527920;3,43E+13;0
1527920;1,09E+13;0
1527920;5,94E+12;0
1527920;2,68E+13;1
1528020;1,94E+13;1
1528120;1,09E+13;0
1528120;1,94E+13;0
1528120;3,50E+13;0
1528120;2,68E+13;1
1567220;1,76E+13;0
1567220;3,27E+13;0
1567220;3,30E+13;0
1567220;2,91E+13;0
1567220;1,75E+13;0
1567220;2,99E+13;1
1573020;1,21E+13;1
1573420;1,21E+13;1
1577720;1,93E+13;1
1580520;2,71E+13;1
1586920;1,09E+12;0
1586920;3,38E+13;0
1586920;1,06E+13;1
1598920;1,43E+13;1
1599320;3,12E+13;1
1608020;8,16E+12;1
1608020;2,16E+13;1
1610220;9,21E+12;1
1610220;1,81E+13;1
1610220;8,16E+12;1
1617520;1,81E+13;0
1617520;1,43E+13;1
1618420;3,02E+13;1
461620;4,12E+13;1
1630420;2,16E+13;0
1630420;3,19E+13;0
1630420;1,99E+13;1
1630820;2,09E+13;0
1630820;9,33E+12;1
1637420;2,13E+13;0
1637420;5,30E+12;1
1637420;4,12E+11;1
1642320;1,99E+13;1
1645520;3,28E+12;1
1646820;3,28E+12;1
1647120;1,86E+13;1
1656920;2,02E+13;0
1656920;8,44E+12;0
1656920;2,81E+13;1
1671120;1,05E+13;1
475020;8,16E+12;0
475020;7,01E+13;0
475020;8,70E+12;1
1679120;7,61E+12;0
1679120;5,08E+12;1
1679320;9,61E+12;1
1679320;1,31E+13;1
1702120;2,65E+13;1
1702620;2,00E+13;1
1704820;2,66E+12;1
1706720;1,81E+13;1
1708920;3,19E+13;1
1709820;2,96E+13;1
1716120;2,28E+13;0
1716120;2,91E+13;0
1716120;2,09E+13;1
1739620;2,49E+13;1
1746920;7,59E+12;1
1757620;1,74E+13;1
492720;1,76E+13;1
492720;2,24E+13;1
1823020;7,01E+13;0
1823020;3,26E+12;1
1832320;2,71E+13;1
1835720;3,31E+13;1
503420;3,20E+12;1
1843220;3,12E+13;1
1844120;2,97E+13;0
1844120;5,16E+12;1
1848620;1,06E+13;1
1848920;1,06E+13;1
1857920;1,21E+13;1
1858220;1,21E+13;1
1861220;1,25E+13;1
1866420;1,66E+12;1
1884920;2,42E+13;1
1884920;2,35E+13;1
1884920;2,74E+13;1
1884920;2,05E+13;1
1884920;2,93E+13;1
1886920;5,88E+12;0
1886920;1,38E+13;1
1894420;1,52E+13;0
1894420;5,94E+12;0
1894420;2,11E+13;0
1894420;1,94E+13;0
1894420;2,03E+13;0
1894420;3,50E+13;1
1896220;9,76E+11;0
1896220;2,03E+13;0
1896220;7,01E+13;1
1896520;9,76E+11;0
1896520;9,05E+12;0
1896520;1,95E+13;1
1907720;4,09E+13;0
1907720;1,73E+13;1
1914420;4,44E+12;0
1914420;2,71E+13;0
1914420;3,37E+13;0
1914420;5,88E+12;0
1914420;1,07E+13;0
1914420;1,03E+13;1
1923720;2,26E+13;0
1923720;2,16E+13;1
1927620;5,88E+12;0
1927620;3,28E+12;1
1928620;2,98E+13;0
1928620;1,42E+13;1
1930020;2,29E+12;1
1931620;1,86E+13;0
1931620;2,03E+13;1
1932920;1,77E+13;1
1935020;2,72E+13;1
1935120;1,54E+13;1
1936120;1,20E+13;1
1936120;8,92E+12;1
1936120;8,60E+12;1
1939720;1,50E+13;1
1942220;1,95E+13;1
541820;1,70E+13;1
1964720;2,03E+13;0
1964720;2,11E+13;0
1964720;3,50E+13;0
1964720;5,94E+12;0
1964720;1,94E+13;0
1964720;9,34E+12;1
1992820;3,50E+13;1
1994720;3,50E+13;1
1997020;2,36E+13;0
1997020;1,52E+13;0
1997020;5,16E+12;0
1997020;1,85E+13;1
1997920;2,68E+13;0
1997920;1,76E+13;0
1997920;1,06E+13;0
1997920;2,67E+13;1
1999120;3,11E+13;1
2028720;5,88E+12;0
2028720;7,75E+12;1
2029520;5,88E+12;0
2029520;7,75E+12;1
2040420;3,26E+12;1
2042720;1,09E+12;0
2042720;2,77E+13;0
2042720;2,75E+13;0
2042720;5,16E+12;0
2042720;3,30E+13;1
2047120;2,80E+13;0
2047120;2,03E+13;1
2047620;1,95E+13;1
2047720;1,56E+12;0
2047720;1,95E+13;0
2047720;2,80E+13;0
2047720;2,03E+13;1
2049620;1,78E+13;1
2055120;8,57E+12;1
2055920;3,03E+13;1
2059820;7,26E+12;0
2059820;9,33E+12;0
2059820;2,12E+13;0
