licitacao;proponente;situacao
Doc. 37570/20;3,13234E+12;Vencedora
Doc. 46822/20;2,42154E+13;Vencedora
Doc. 48789/20;1,33511E+13;Vencedora
Doc. 62953/20;1,33511E+13;Vencedora
Doc. 63100/20;3,5675E+13;Vencedora
Doc. 57072/20;3,47466E+13;Vencedora
Doc. 06396/21;3,49551E+13;Vencedora
Doc. 08522/21;3,76337E+13;Vencedora
Doc. 08526/21;6,09131E+12;Vencedora
Doc. 08529/21;2,46028E+13;Vencedora
Doc. 25956/21;3,01156E+13;Vencedora
Doc. 34436/21;3,62533E+13;Vencedora
Doc. 36268/21;3,63293E+13;Vencedora
Doc. 36916/21;3,62533E+13;Vencedora
Doc. 36956/21;9,21022E+12;Vencedora
Doc. 43454/21;1,41408E+13;Vencedora
Doc. 45166/21;2,91076E+13;Vencedora
Doc. 54377/21;8,26946E+12;Vencedora
Doc. 55423/21;4,07293E+13;Vencedora
Doc. 66854/21;4,00054E+13;Vencedora
Doc. 66856/21;3,3313E+13;Vencedora
Doc. 67528/21;3,47466E+13;Vencedora
Doc. 67531/21;2,24445E+13;Vencedora
Doc. 67536/21;4,01203E+13;Vencedora
Doc. 67541/21;1,75733E+13;Vencedora
Doc. 67779/21;3,55895E+13;Vencedora
Doc. 68140/21;9,13955E+12;Vencedora
Doc. 69169/21;3,01156E+13;Vencedora
Doc. 69765/21;2,70052E+13;Vencedora
Doc. 83485/21;3,47466E+13;Vencedora
Doc. 83488/21;2,40543E+13;Vencedora
Doc. 93372/21;3,86633E+13;Vencedora
Doc. 69803/18;7,90963E+12;Perdedora
Doc. 69803/18;8,38124E+12;Perdedora
Doc. 69803/18;7,80426E+12;Vencedora
Doc. 70382/18;8,43865E+12;Vencedora
Doc. 71216/18;8,65184E+12;Perdedora
Doc. 71216/18;1,75608E+13;Perdedora
Doc. 71216/18;1,4992E+13;Vencedora
Doc. 71306/18;2,9885E+13;Perdedora
Doc. 71306/18;2,00103E+13;Perdedora
Doc. 71306/18;1,94208E+13;Vencedora
Doc. 72515/18;2,9885E+13;Vencedora
Doc. 72526/18;1,65875E+12;Vencedora
Doc. 73093/18;1,54098E+13;Perdedora
Doc. 73093/18;1,49775E+13;Perdedora
Doc. 73093/18;2,51575E+13;Vencedora
Doc. 73266/18;1,57059E+13;Vencedora
Doc. 73842/18;2,52505E+13;Perdedora
Doc. 73842/18;2,09493E+13;Perdedora
Doc. 73842/18;3,55868E+13;Perdedora
Doc. 73842/18;2,29243E+13;Perdedora
Doc. 73842/18;6,17636E+12;Perdedora
Doc. 73842/18;2,40648E+13;Perdedora
Doc. 73842/18;1,76245E+13;Vencedora
Doc. 74254/18;2,09493E+13;Perdedora
Doc. 74254/18;2,29243E+13;Vencedora
Doc. 75438/18;2,79446E+13;Vencedora
Doc. 76319/18;1,05456E+13;Vencedora
Doc. 76371/18;3,39579E+12;Vencedora
Doc. 76487/18;1,11502E+13;Vencedora
Doc. 77513/18;2,40244E+13;Perdedora
Doc. 77513/18;8,43865E+12;Perdedora
Doc. 77513/18;2,28852E+13;Vencedora
Doc. 77718/18;2,27592E+13;Perdedora
Doc. 77718/18;2,42635E+13;Vencedora
Doc. 77752/18;2,79446E+13;Perdedora
Doc. 77752/18;8,43865E+12;Perdedora
Doc. 77752/18;1,7441E+13;Perdedora
Doc. 77752/18;1,78098E+13;Perdedora
Doc. 77752/18;5,88117E+12;Perdedora
Doc. 77752/18;3,06769E+13;Vencedora
Doc. 77759/18;3,16153E+13;Vencedora
Doc. 78191/18;7,90963E+12;Vencedora
Doc. 78194/18;7,90963E+12;Vencedora
Doc. 78348/18;1,75608E+13;Perdedora
Doc. 78348/18;2,67812E+13;Perdedora
Doc. 78348/18;2,74504E+13;Vencedora
Doc. 78435/18;1,43132E+13;Perdedora
Doc. 78435/18;8,43865E+12;Perdedora
Doc. 78435/18;2,27592E+13;Vencedora
Doc. 79224/18;2,09302E+13;Perdedora
Doc. 79224/18;1,78098E+13;Perdedora
Doc. 79224/18;8,43865E+12;Perdedora
Doc. 79224/18;2,05334E+13;Perdedora
Doc. 79224/18;2,62786E+12;Perdedora
Doc. 79224/18;2,16013E+13;Perdedora
Doc. 79224/18;2,65427E+13;Vencedora
Doc. 80240/18;7,54072E+12;Vencedora
Doc. 80251/18;1,52338E+13;Perdedora
Doc. 80251/18;1,11706E+13;Perdedora
Doc. 80251/18;1,97441E+13;Perdedora
Doc. 80251/18;2,28852E+13;Perdedora
Doc. 80251/18;7,52455E+12;Perdedora
Doc. 80251/18;2,73477E+13;Vencedora
Doc. 80291/18;2,90503E+13;Perdedora
Doc. 80291/18;1,52338E+13;Perdedora
Doc. 80291/18;4,44179E+12;Perdedora
Doc. 80291/18;2,28852E+13;Perdedora
Doc. 80291/18;1,74159E+13;Perdedora
Doc. 80291/18;7,52455E+12;Perdedora
Doc. 80291/18;2,94954E+13;Perdedora
Doc. 80291/18;1,97441E+13;Perdedora
Doc. 80291/18;1,11706E+13;Perdedora
Doc. 80291/18;2,73477E+13;Vencedora
Doc. 80731/18;2,16454E+13;Vencedora
Doc. 80731/18;1,33511E+13;Vencedora
Doc. 81091/18;2,29243E+13;Perdedora
Doc. 81091/18;1,7604E+13;Perdedora
Doc. 81091/18;2,74912E+13;Perdedora
Doc. 81091/18;1,11706E+13;Perdedora
Doc. 81091/18;1,37218E+13;Perdedora
Doc. 81091/18;1,33511E+13;Perdedora
Doc. 81091/18;2,16454E+13;Vencedora
Doc. 81190/18;1,52338E+13;Perdedora
Doc. 81190/18;2,19334E+13;Perdedora
Doc. 81190/18;2,52505E+13;Perdedora
Doc. 81190/18;2,91076E+13;Perdedora
Doc. 81190/18;1,33511E+13;Perdedora
Doc. 81190/18;1,2103E+13;Perdedora
Doc. 81190/18;1,76245E+13;Perdedora
Doc. 81190/18;2,76232E+13;Perdedora
Doc. 81190/18;2,02564E+13;Perdedora
Doc. 81190/18;2,29243E+13;Perdedora
Doc. 81190/18;3,55868E+13;Vencedora
Doc. 81525/18;1,76207E+13;Vencedora
Doc. 81537/18;5,821E+12;Perdedora
Doc. 81537/18;2,40244E+13;Vencedora
Doc. 81811/18;2,27592E+13;Perdedora
Doc. 81811/18;2,9288E+13;Perdedora
Doc. 81811/18;2,91027E+13;Perdedora
Doc. 81811/18;2,62786E+12;Vencedora
Doc. 82032/18;2,97476E+13;Vencedora
Doc. 82289/18;4,66769E+12;Vencedora
Doc. 82506/18;1,08411E+12;Perdedora
Doc. 82506/18;7,17767E+12;Perdedora
Doc. 82506/18;1,86044E+13;Vencedora
Doc. 82932/18;1,11706E+13;Perdedora
Doc. 82932/18;3,27897E+12;Perdedora
Doc. 82932/18;1,11502E+13;Vencedora
Doc. 82976/18;1,41024E+13;Vencedora
Doc. 83129/18;1,51618E+13;Perdedora
Doc. 83129/18;1,78098E+13;Vencedora
Doc. 83385/18;4,66769E+12;Vencedora
Doc. 84066/18;2,25762E+13;Perdedora
Doc. 84066/18;1,66134E+13;Perdedora
Doc. 84066/18;2,12119E+13;Perdedora
Doc. 84066/18;3,19004E+13;Vencedora
Doc. 84313/18;1,66134E+13;Vencedora
Doc. 84469/18;4,88191E+12;Perdedora
Doc. 84469/18;1,7441E+13;Vencedora
Doc. 84478/18;1,51618E+13;Perdedora
Doc. 84478/18;2,27592E+13;Vencedora
Doc. 84964/18;3,1095E+13;Perdedora
Doc. 84964/18;3,55868E+13;Perdedora
Doc. 84964/18;2,9885E+13;Perdedora
Doc. 84964/18;7,56385E+12;Vencedora
Doc. 84978/18;3,19004E+13;Perdedora
Doc. 84978/18;2,06901E+12;Vencedora
Doc. 84998/18;7,94083E+12;Perdedora
Doc. 84998/18;3,0233E+13;Vencedora
Doc. 85002/18;2,49298E+13;Vencedora
Doc. 85031/18;1,58079E+13;Vencedora
Doc. 85062/18;2,98296E+13;Vencedora
Doc. 85246/18;8,43865E+12;Perdedora
Doc. 85246/18;2,79446E+13;Perdedora
Doc. 85246/18;2,09302E+13;Vencedora
Doc. 85422/18;7,58856E+12;Vencedora
Doc. 85445/18;1,08411E+12;Vencedora
Doc. 85552/18;2,94827E+13;Perdedora
Doc. 85552/18;2,16454E+13;Perdedora
Doc. 85552/18;1,75608E+13;Perdedora
Doc. 85552/18;1,89175E+13;Perdedora
Doc. 85552/18;1,04022E+13;Perdedora
Doc. 85552/18;2,77761E+13;Vencedora
Doc. 85817/18;1,49775E+13;Vencedora
Doc. 85831/18;2,02564E+13;Perdedora
Doc. 85831/18;1,2103E+13;Perdedora
Doc. 85831/18;1,52338E+13;Perdedora
Doc. 85831/18;2,67573E+13;Perdedora
Doc. 85831/18;2,17987E+13;Vencedora
Doc. 86057/18;7,60931E+12;Perdedora
Doc. 86057/18;1,37774E+13;Perdedora
Doc. 86057/18;1,11706E+13;Perdedora
Doc. 86057/18;1,11502E+13;Perdedora
Doc. 86057/18;1,52338E+13;Vencedora
Doc. 86371/18;1,11502E+13;Perdedora
Doc. 86371/18;1,2103E+13;Perdedora
Doc. 86371/18;2,02841E+13;Perdedora
Doc. 86371/18;1,52338E+13;Perdedora
Doc. 86371/18;1,37774E+13;Vencedora
Doc. 86375/18;1,11706E+13;Perdedora
Doc. 86375/18;1,11502E+13;Perdedora
Doc. 86375/18;1,37774E+13;Vencedora
Doc. 86465/18;1,94208E+13;Perdedora
Doc. 86465/18;7,60931E+12;Perdedora
Doc. 86465/18;3,27897E+12;Perdedora
Doc. 86465/18;1,2103E+13;Perdedora
Doc. 86465/18;2,02564E+13;Vencedora
Doc. 86806/18;1,49775E+13;Vencedora
Doc. 87039/18;6,34789E+13;Vencedora
Doc. 87039/18;7,89704E+12;Vencedora
Doc. 87039/18;1,27109E+13;Vencedora
Doc. 87067/18;8,13498E+12;Vencedora
Doc. 87067/18;6,34789E+13;Vencedora
Doc. 87067/18;1,27109E+13;Vencedora
Doc. 87067/18;1,14274E+13;Vencedora
Doc. 87067/18;7,89704E+12;Vencedora
Doc. 87067/18;2,68732E+13;Vencedora
Doc. 87124/18;9,0844E+12;Perdedora
Doc. 87124/18;1,12468E+13;Vencedora
Doc. 87371/18;2,46061E+13;Vencedora
Doc. 87429/18;1,07446E+13;Perdedora
Doc. 87429/18;2,22551E+13;Perdedora
Doc. 87429/18;2,80997E+13;Vencedora
Doc. 87580/18;1,81275E+13;Vencedora
Doc. 87623/18;1,81267E+13;Vencedora
Doc. 87636/18;1,75897E+13;Perdedora
Doc. 87636/18;3,19004E+13;Vencedora
Doc. 87640/18;3,19004E+13;Vencedora
Doc. 87898/18;1,53641E+13;Perdedora
Doc. 87898/18;2,35876E+13;Perdedora
Doc. 87898/18;2,75124E+13;Perdedora
Doc. 87898/18;1,9293E+13;Perdedora
Doc. 87898/18;2,12405E+13;Vencedora
Doc. 88197/18;1,65875E+12;Vencedora
Doc. 88295/18;3,0233E+13;Perdedora
Doc. 88295/18;1,98541E+13;Vencedora
Doc. 88464/18;2,48633E+13;Vencedora
Doc. 88494/18;2,48633E+13;Vencedora
Doc. 88799/18;8,6012E+12;Vencedora
Doc. 89188/18;1,49775E+13;Vencedora
Doc. 89222/18;3,06248E+13;Vencedora
Doc. 89446/18;9,18183E+12;Vencedora
Doc. 89541/18;2,95645E+12;Vencedora
Doc. 89577/18;5,47505E+12;Perdedora
Doc. 89577/18;2,77761E+13;Perdedora
Doc. 89577/18;1,07446E+13;Perdedora
Doc. 89577/18;1,89175E+13;Vencedora
Doc. 89581/18;1,5003E+13;Vencedora
Doc. 89583/18;1,5003E+13;Vencedora
Doc. 89584/18;3,19004E+13;Perdedora
Doc. 89584/18;1,07446E+13;Perdedora
Doc. 89584/18;2,06901E+12;Perdedora
Doc. 89584/18;5,47505E+12;Perdedora
Doc. 89584/18;1,89175E+13;Vencedora
Doc. 89625/18;2,34976E+12;Vencedora
Doc. 89633/18;2,11813E+13;Vencedora
Doc. 90147/18;1,37774E+13;Perdedora
Doc. 90147/18;2,02564E+13;Perdedora
Doc. 90147/18;3,55868E+13;Perdedora
Doc. 90147/18;2,34976E+12;Vencedora
Doc. 90148/18;3,55868E+13;Perdedora
Doc. 90148/18;1,37774E+13;Perdedora
Doc. 90148/18;2,34976E+12;Vencedora
Doc. 90149/18;2,02841E+13;Perdedora
Doc. 90149/18;2,34976E+12;Perdedora
Doc. 90149/18;3,55868E+13;Perdedora
Doc. 90149/18;1,37774E+13;Vencedora
Doc. 90472/18;2,54259E+13;Perdedora
Doc. 90472/18;6,30111E+12;Perdedora
Doc. 90472/18;7,97177E+12;Vencedora
Doc. 90562/18;1,11034E+13;Vencedora
Doc. 90564/18;1,19712E+13;Vencedora
Doc. 90573/18;8,57177E+12;Vencedora
Doc. 90631/18;2,16013E+13;Vencedora
Doc. 90766/18;2,16454E+13;Vencedora
Doc. 90926/18;2,7743E+13;Vencedora
Doc. 90966/18;7,58856E+12;Vencedora
Doc. 91211/18;1,89574E+13;Vencedora
Doc. 91387/18;2,89782E+13;Vencedora
Doc. 91389/18;2,09358E+13;Vencedora
Doc. 91395/18;7,76826E+12;Vencedora
Doc. 00243/19;2,23718E+13;Vencedora
Doc. 00245/19;1,65875E+12;Vencedora
Doc. 01004/19;2,02564E+13;Perdedora
Doc. 01004/19;2,9885E+13;Perdedora
Doc. 01004/19;1,11502E+13;Vencedora
Doc. 01030/19;2,71061E+13;Vencedora
Doc. 01149/19;3,06769E+13;Perdedora
Doc. 01149/19;1,89209E+13;Perdedora
Doc. 01149/19;5,88117E+12;Perdedora
Doc. 01149/19;1,51618E+13;Vencedora
Doc. 01149/19;1,7441E+13;Vencedora
Doc. 01386/19;1,94932E+13;Perdedora
Doc. 01386/19;1,51618E+13;Perdedora
Doc. 01386/19;2,34976E+12;Vencedora
Doc. 01386/19;9,0844E+12;Vencedora
Doc. 02144/19;2,83968E+13;Vencedora
Doc. 02369/19;2,02841E+13;Perdedora
Doc. 02369/19;2,30117E+13;Perdedora
Doc. 02369/19;1,81381E+13;Vencedora
Doc. 02409/19;2,40244E+13;Vencedora
Doc. 02531/19;8,78436E+12;Perdedora
Doc. 02531/19;9,1179E+12;Perdedora
Doc. 02531/19;2,40648E+13;Perdedora
Doc. 02531/19;3,19004E+13;Perdedora
Doc. 02531/19;1,89175E+13;Perdedora
Doc. 02531/19;2,06901E+12;Perdedora
Doc. 02531/19;1,37774E+13;Perdedora
Doc. 02531/19;2,28852E+13;Vencedora
Doc. 02557/19;7,24242E+12;Perdedora
Doc. 02557/19;1,80445E+13;Perdedora
Doc. 02557/19;2,50802E+13;Vencedora
Doc. 03285/19;2,02841E+13;Vencedora
Doc. 03323/19;2,9885E+13;Vencedora
Doc. 03363/19;2,50802E+13;Vencedora
Doc. 03377/19;1,05964E+13;Vencedora
Doc. 03471/19;7,80426E+12;Vencedora
Doc. 03499/19;9,08159E+12;Perdedora
Doc. 03499/19;1,80701E+12;Perdedora
Doc. 03499/19;2,81997E+13;Vencedora
Doc. 03572/19;1,0735E+13;Vencedora
Doc. 03650/19;2,98789E+13;Perdedora
Doc. 03650/19;5,88117E+12;Perdedora
Doc. 03650/19;1,06765E+13;Perdedora
Doc. 03650/19;8,43865E+12;Perdedora
Doc. 03650/19;1,74907E+13;Perdedora
Doc. 03650/19;3,03215E+13;Vencedora
Doc. 03724/19;8,43865E+12;Vencedora
Doc. 03776/19;1,52338E+13;Perdedora
Doc. 03776/19;1,2103E+13;Vencedora
Doc. 03790/19;1,05964E+13;Vencedora
Doc. 03793/19;1,05964E+13;Vencedora
Doc. 03821/19;1,06343E+13;Vencedora
Doc. 03908/19;2,91076E+13;Vencedora
Doc. 03999/19;2,7701E+13;Perdedora
Doc. 03999/19;3,1095E+13;Vencedora
Doc. 04035/19;1,07446E+13;Perdedora
Doc. 04035/19;2,45656E+13;Perdedora
Doc. 04035/19;3,44433E+12;Vencedora
Doc. 04139/19;1,05964E+13;Vencedora
Doc. 04140/19;1,05964E+13;Vencedora
Doc. 04144/19;6,94902E+12;Vencedora
Doc. 04169/19;2,75124E+13;Vencedora
Doc. 04340/19;2,27592E+13;Perdedora
Doc. 04340/19;1,75608E+13;Perdedora
Doc. 04340/19;1,80246E+13;Perdedora
Doc. 04340/19;8,43865E+12;Perdedora
Doc. 04340/19;2,65427E+13;Perdedora
Doc. 04340/19;2,91027E+13;Perdedora
Doc. 04340/19;1,51618E+13;Perdedora
Doc. 04340/19;2,7701E+13;Perdedora
Doc. 04340/19;1,35701E+13;Perdedora
Doc. 04340/19;2,97113E+13;Vencedora
Doc. 04372/19;1,91644E+13;Vencedora
Doc. 04454/19;7,20614E+12;Vencedora
Doc. 04454/19;3,89056E+12;Vencedora
Doc. 04551/19;4,61256E+12;Vencedora
Doc. 04551/19;1,83633E+13;Vencedora
Doc. 04594/19;9,335E+12;Vencedora
Doc. 04605/19;2,28769E+12;Vencedora
Doc. 04824/19;2,71274E+13;Perdedora
Doc. 04824/19;2,24556E+13;Vencedora
Doc. 05250/19;2,09302E+13;Vencedora
Doc. 05300/19;2,41695E+13;Vencedora
Doc. 05389/19;2,28852E+13;Perdedora
Doc. 05389/19;3,09997E+13;Vencedora
Doc. 05389/19;1,2103E+13;Vencedora
Doc. 05389/19;2,75064E+12;Vencedora
Doc. 05424/19;3,05597E+13;Perdedora
Doc. 05424/19;2,72207E+13;Vencedora
Doc. 05424/19;2,83705E+13;Vencedora
Doc. 05424/19;9,51374E+12;Vencedora
Doc. 05430/19;9,51374E+12;Vencedora
Doc. 05430/19;2,83705E+13;Vencedora
Doc. 05430/19;2,72207E+13;Vencedora
Doc. 05430/19;3,05597E+13;Vencedora
Doc. 05466/19;3,00968E+13;Perdedora
Doc. 05466/19;4,44179E+12;Perdedora
Doc. 05466/19;2,71061E+13;Perdedora
Doc. 05466/19;2,46061E+13;Perdedora
Doc. 05466/19;8,65184E+12;Perdedora
Doc. 05466/19;2,50802E+13;Vencedora
Doc. 05520/19;7,24242E+12;Perdedora
Doc. 05520/19;2,98296E+13;Perdedora
Doc. 05520/19;8,65184E+12;Perdedora
Doc. 05520/19;1,76207E+13;Perdedora
Doc. 05520/19;2,50802E+13;Vencedora
Doc. 05609/19;1,51618E+13;Vencedora
Doc. 05723/19;2,48633E+13;Perdedora
Doc. 05723/19;3,11625E+13;Perdedora
Doc. 05723/19;2,42635E+13;Perdedora
Doc. 05723/19;1,89209E+13;Perdedora
Doc. 05723/19;2,52073E+13;Vencedora
Doc. 05737/19;2,98789E+13;Perdedora
Doc. 05737/19;1,9293E+13;Perdedora
Doc. 05737/19;2,24556E+13;Vencedora
Doc. 05897/19;7,24242E+12;Vencedora
Doc. 05899/19;2,19334E+13;Vencedora
Doc. 05949/19;1,75608E+13;Vencedora
Doc. 06033/19;1,80246E+13;Vencedora
Doc. 06126/19;1,9293E+13;Vencedora
Doc. 06138/19;2,35876E+13;Vencedora
Doc. 06150/19;1,53641E+13;Perdedora
Doc. 06150/19;2,97113E+13;Perdedora
Doc. 06150/19;1,51618E+13;Perdedora
Doc. 06150/19;2,24556E+13;Perdedora
Doc. 06150/19;3,06769E+13;Perdedora
Doc. 06150/19;8,43865E+12;Vencedora
Proc. 01593/19;1,74403E+13;Perdedora
Proc. 01593/19;3,39579E+12;Vencedora
Doc. 06260/19;1,89209E+13;Vencedora
Doc. 06409/19;3,60305E+11;Vencedora
Doc. 06409/19;191;Vencedora
Doc. 06441/19;1,67072E+13;Vencedora
Doc. 06468/19;7,54072E+12;Vencedora
Doc. 06637/19;1,84434E+13;Vencedora
Doc. 06783/19;7,91413E+12;Perdedora
Doc. 06783/19;2,85619E+13;Perdedora
Doc. 06783/19;8,43865E+12;Vencedora
Doc. 06806/19;1,88696E+13;Perdedora
Doc. 06806/19;8,98413E+12;Vencedora
Doc. 06806/19;2,96559E+13;Vencedora
Doc. 06806/19;8,94325E+12;Vencedora
Doc. 06806/19;2,42154E+13;Vencedora
Doc. 06806/19;9,6136E+12;Vencedora
Doc. 06865/19;1,06765E+13;Perdedora
Doc. 06865/19;2,42635E+13;Vencedora
Doc. 06891/19;2,06838E+12;Vencedora
Doc. 06954/19;8,0613E+12;Vencedora
Doc. 07004/19;1,2097E+13;Perdedora
Doc. 07004/19;1,67072E+13;Perdedora
Doc. 07004/19;2,50802E+13;Vencedora
Doc. 07044/19;1,05964E+13;Vencedora
Doc. 07337/19;2,5683E+13;Perdedora
Doc. 07337/19;2,09302E+13;Perdedora
Doc. 07337/19;3,22286E+13;Vencedora
Doc. 07547/19;9,02874E+12;Vencedora
Doc. 07556/19;3,05597E+13;Vencedora
Doc. 07589/19;1,84434E+13;Vencedora
Doc. 07801/19;6,94902E+12;Vencedora
Doc. 07995/19;8,98413E+12;Vencedora
Doc. 07995/19;2,96559E+13;Vencedora
Doc. 07995/19;2,42154E+13;Vencedora
Doc. 07995/19;8,94325E+12;Vencedora
Doc. 08035/19;3,33844E+12;Vencedora
Doc. 08104/19;2,52073E+13;Vencedora
Doc. 08151/19;1,07446E+13;Perdedora
Doc. 08151/19;3,33844E+12;Perdedora
Doc. 08151/19;2,5178E+13;Vencedora
Doc. 08209/19;1,07446E+13;Vencedora
Doc. 08218/19;1,08411E+12;Vencedora
Doc. 08243/19;8,3314E+11;Vencedora
Proc. 02155/19;1,34932E+13;Perdedora
Proc. 02155/19;4,11189E+12;Vencedora
Doc. 08299/19;2,90558E+13;Vencedora
Doc. 08413/19;1,95083E+13;Vencedora
Doc. 08423/19;2,90927E+13;Vencedora
Doc. 08451/19;1,97526E+13;Vencedora
