licit;proponente;situacao
9047218;2,54E+13;0
9047218;6,30E+12;0
9047218;7,97E+12;1
9056218;1,11E+13;1
9056418;1,20E+13;1
9057318;8,57E+12;1
9063118;2,16E+13;1
9076618;2,16E+13;1
9092618;2,77E+13;1
9096618;7,59E+12;1
9121118;1,90E+13;1
9138718;2,90E+13;1
9138918;2,09E+13;1
9139518;7,77E+12;1
24319;2,24E+13;1
24519;1,66E+12;1
100419;2,03E+13;0
100419;2,99E+13;0
100419;1,12E+13;1
103019;2,71E+13;1
114919;3,07E+13;0
114919;1,89E+13;0
114919;5,88E+12;0
114919;1,52E+13;1
114919;1,74E+13;1
138619;1,95E+13;0
138619;1,52E+13;0
138619;2,35E+12;1
138619;9,08E+12;1
214419;2,84E+13;1
236919;2,03E+13;0
236919;2,30E+13;0
236919;1,81E+13;1
240919;2,40E+13;1
253119;8,78E+12;0
253119;9,12E+12;0
253119;2,41E+13;0
253119;3,19E+13;0
253119;1,89E+13;0
253119;2,07E+12;0
253119;1,38E+13;0
253119;2,29E+13;1
255719;7,24E+12;0
255719;1,80E+13;0
255719;2,51E+13;1
328519;2,03E+13;1
332319;2,99E+13;1
336319;2,51E+13;1
337719;1,06E+13;1
347119;7,80E+12;1
349919;9,08E+12;0
349919;1,81E+12;0
349919;2,82E+13;1
357219;1,07E+13;1
365019;2,99E+13;0
365019;5,88E+12;0
365019;1,07E+13;0
365019;8,44E+12;0
365019;1,75E+13;0
365019;3,03E+13;1
372419;8,44E+12;1
377619;1,52E+13;0
377619;1,21E+13;1
379019;1,06E+13;1
379319;1,06E+13;1
382119;1,06E+13;1
390819;2,91E+13;1
399919;2,77E+13;0
399919;3,11E+13;1
403519;1,07E+13;0
403519;2,46E+13;0
403519;3,44E+12;1
413919;1,06E+13;1
414019;1,06E+13;1
414419;6,95E+12;1
416919;2,75E+13;1
434019;2,28E+13;0
434019;1,76E+13;0
434019;1,80E+13;0
434019;8,44E+12;0
434019;2,65E+13;0
434019;2,91E+13;0
434019;1,52E+13;0
434019;2,77E+13;0
434019;1,36E+13;0
434019;2,97E+13;1
445419;7,21E+12;1
445419;3,89E+12;1
455119;4,61E+12;1
455119;1,84E+13;1
459419;9,34E+12;1
460519;2,29E+12;1
482419;2,71E+13;0
482419;2,25E+13;1
525019;2,09E+13;1
538919;2,29E+13;0
538919;3,10E+13;1
538919;1,21E+13;1
538919;2,75E+12;1
542419;3,06E+13;0
542419;2,72E+13;1
542419;2,84E+13;1
542419;9,51E+12;1
543019;9,51E+12;1
543019;2,84E+13;1
543019;2,72E+13;1
543019;3,06E+13;1
546619;3,01E+13;0
546619;4,44E+12;0
546619;2,71E+13;0
546619;2,46E+13;0
546619;8,65E+12;0
546619;2,51E+13;1
552019;7,24E+12;0
552019;2,98E+13;0
552019;8,65E+12;0
552019;1,76E+13;0
552019;2,51E+13;1
560919;1,52E+13;1
572319;2,49E+13;0
572319;3,12E+13;0
572319;2,43E+13;0
572319;1,89E+13;0
572319;2,52E+13;1
573719;2,99E+13;0
573719;1,93E+13;0
573719;2,25E+13;1
589719;7,24E+12;1
589919;2,19E+13;1
594919;1,76E+13;1
603319;1,80E+13;1
612619;1,93E+13;1
613819;2,36E+13;1
615019;1,54E+13;0
615019;2,97E+13;0
615019;1,52E+13;0
615019;2,25E+13;0
615019;3,07E+13;0
615019;8,44E+12;1
159319;1,74E+13;0
159319;3,40E+12;1
626019;1,89E+13;1
644119;1,67E+13;1
646819;7,54E+12;1
663719;1,84E+13;1
678319;7,91E+12;0
678319;2,86E+13;0
678319;8,44E+12;1
680619;1,89E+13;0
680619;8,98E+12;1
680619;2,97E+13;1
680619;8,94E+12;1
680619;2,42E+13;1
680619;9,61E+12;1
686519;1,07E+13;0
686519;2,43E+13;1
695419;8,06E+12;1
700419;1,21E+13;0
700419;1,67E+13;0
700419;2,51E+13;1
704419;1,06E+13;1
754719;9,03E+12;1
755619;3,06E+13;1
758919;1,84E+13;1
780119;6,95E+12;1
799519;8,98E+12;1
799519;2,97E+13;1
799519;2,42E+13;1
799519;8,94E+12;1
803519;3,34E+12;1
810419;2,52E+13;1
815119;1,07E+13;0
815119;3,34E+12;0
815119;2,52E+13;1
820919;1,07E+13;1
821819;1,08E+12;1
824319;8,33E+11;1
215519;1,35E+13;0
215519;4,11E+12;1
842319;2,91E+13;1
852819;2,83E+13;0
852819;2,47E+13;0
852819;4,60E+11;0
852819;1,69E+13;0
852819;2,77E+13;1
853119;2,72E+13;0
853119;4,60E+11;0
853119;1,75E+13;0
853119;2,83E+13;0
853119;1,69E+13;0
853119;8,17E+12;1
874619;3,16E+13;1
879619;3,19E+13;1
886219;3,03E+13;0
886219;2,12E+13;1
886219;3,06E+13;1
889619;2,86E+13;1
892619;1,89E+13;0
892619;2,51E+13;0
892619;2,65E+13;1
896319;3,34E+12;1
945519;7,86E+12;1
1005619;2,47E+13;0
1005619;2,05E+13;1
1032419;1,99E+13;1
252619;4,32E+12;0
252619;5,08E+12;1
1044019;2,19E+13;1
1049419;9,35E+12;1
1049819;1,31E+13;1
1052319;1,31E+13;1
1054119;2,11E+13;1
1061919;5,14E+12;1
1061919;6,13E+12;1
1065519;1,54E+13;1
265919;1,46E+13;0
265919;1,94E+13;1
1081419;1,41E+13;1
1122319;4,97E+12;1
1122319;9,51E+12;1
1122319;3,06E+13;1
1123619;2,96E+13;1
1123619;2,29E+13;1
274419;3,54E+13;1
1129019;9,20E+12;1
1140619;7,89E+12;0
1140619;7,66E+12;1
1147819;1,03E+13;1
1162119;2,28E+13;0
1162119;2,12E+13;0
1162119;2,77E+13;0
1162119;2,32E+13;0
1162119;2,29E+13;0
1162119;2,79E+13;0
1162119;1,11E+13;1
1163019;4,44E+12;1
1164419;2,96E+13;1
1169819;1,25E+13;1
1187819;8,65E+12;1
1187919;9,37E+12;1
1188919;2,51E+13;0
1188919;1,21E+13;0
1188919;1,67E+13;1
1189019;2,23E+13;1
1189119;1,21E+13;1
1189219;1,67E+13;0
1189219;3,07E+13;1
1199819;2,95E+13;1
1202619;7,94E+12;1
1208819;3,06E+13;1
1215219;2,81E+13;1
1215219;8,94E+12;1
1223919;1,71E+13;1
1224119;5,29E+12;1
1230619;2,79E+13;1
1232619;2,79E+13;1
1242419;9,63E+12;1
1264219;1,06E+13;1
1270819;1,46E+13;1
1274519;1,95E+13;0
1274519;2,92E+13;1
1324419;1,52E+13;0
1324419;2,00E+13;1
1325419;9,06E+12;1
1343619;7,56E+12;1
1343919;8,94E+12;1
1343919;2,42E+13;1
1343919;9,61E+12;1
1363219;1,47E+13;1
1369319;9,18E+12;0
1369319;8,69E+12;0
1369319;1,34E+13;0
1369319;4,44E+12;0
1369319;1,12E+13;1
1370619;1,91E+13;1
1372219;2,48E+13;1
1372319;2,30E+13;0
1372319;2,68E+13;0
1372319;3,12E+13;1
1376819;2,83E+13;0
1376819;2,71E+13;1
1376819;1,88E+13;1
1383919;4,67E+12;0
1383919;1,71E+13;0
1383919;2,13E+13;0
1383919;8,98E+12;0
1383919;3,01E+13;1
1407119;3,06E+13;1
1407119;3,17E+13;1
1407119;1,19E+13;1
1411719;2,09E+13;1
1413419;1,31E+13;1
1421019;2,23E+13;1
1421019;3,55E+13;1
1421319;5,18E+11;0
1421319;1,79E+13;0
1421319;1,15E+13;0
1421319;1,88E+13;0
1421319;1,93E+13;1
326819;2,07E+12;0
326819;1,95E+13;0
326819;2,35E+12;0
326819;1,24E+13;0
326819;3,56E+13;0
326819;2,79E+13;0
326819;2,16E+13;0
326819;2,30E+13;0
326819;2,43E+13;0
326819;9,08E+12;1
1422219;6,13E+12;1
1423119;5,29E+12;1
1429519;1,89E+13;1
1434419;8,30E+13;1
1434819;2,27E+12;1
1436619;3,31E+12;1
1445719;1,37E+13;0
1445719;2,41E+13;1
1451719;1,31E+13;1
1453019;2,71E+13;1
1458419;1,96E+13;1
1463519;1,89E+13;1
1464919;2,25E+13;1
1465319;1,10E+13;1
1466519;2,74E+13;1
1466519;8,69E+12;1
1466519;3,13E+13;1
1466519;2,03E+13;1
1466519;2,78E+13;1
1466519;2,76E+13;1
1467219;2,36E+13;0
1467219;5,88E+12;0
1467219;1,07E+13;0
1467219;1,66E+12;0
1467219;3,03E+13;1
1473619;6,13E+12;1
1474319;8,93E+12;1
1502319;1,27E+13;1
1513219;1,33E+13;1
1518019;2,73E+13;1
1518119;2,19E+13;1
1534719;1,89E+13;1
1548719;2,97E+13;1
1548719;1,11E+13;1
1569719;1,06E+13;1
1587619;2,24E+13;1
1594919;2,70E+13;1
1609719;3,05E+13;0
1609719;1,09E+13;1
1623319;1,06E+13;1
1628719;1,06E+13;1
1629019;2,91E+13;0
1629019;1,34E+13;0
1629019;2,67E+13;1
1629619;1,94E+13;1
1630919;2,68E+13;1
1633519;2,63E+12;0
1633519;1,03E+13;0
1633519;1,08E+12;1
1633619;5,16E+12;0
1633619;1,08E+12;0
1633619;2,28E+13;0
1633619;2,87E+13;0
1633619;1,03E+13;0
1633619;2,63E+12;0
1633619;1,50E+13;1
1634619;2,91E+13;0
1634619;1,52E+13;0
1634619;2,00E+13;0
1634619;2,40E+13;0
1634619;2,70E+13;0
1634619;2,77E+13;0
1634619;2,29E+13;0
1634619;4,33E+12;0
1634619;8,78E+12;0
1634619;1,06E+13;0
1634619;8,60E+12;0
1634619;1,23E+12;0
1634619;1,89E+13;1
1635919;2,22E+13;1
1636219;5,91E+12;1
1640319;1,76E+13;0
1640319;2,13E+13;1
1642619;2,65E+13;1
1672319;5,94E+12;0
1672319;1,05E+13;1
1673119;3,54E+12;1
1673719;2,69E+13;1
1685019;5,88E+12;0
1685019;2,05E+13;0
1685019;5,16E+12;0
1685019;2,70E+13;1
1731119;3,34E+12;1
1755319;1,11E+13;1
1757519;5,91E+12;1
377619;2,84E+13;1
1815519;2,70E+13;0
1815519;3,12E+13;0
1815519;1,89E+13;0
1815519;2,25E+13;0
1815519;9,13E+12;0
1815519;1,89E+13;1
1815619;3,12E+13;0
1815619;2,25E+13;0
1815619;9,13E+12;0
1815619;1,89E+13;0
1815619;1,89E+13;1
1866119;2,91E+13;1
1866919;2,91E+13;1
1871819;2,70E+13;1
1897619;2,75E+13;0
1897619;5,16E+12;0
1897619;1,21E+13;0
1897619;2,61E+13;1
1914219;1,05E+13;1
1925119;7,25E+12;1
1936319;5,29E+12;1
1941019;1,57E+13;1
443519;2,83E+13;0
443519;1,44E+13;1
1949619;2,53E+13;1
1953119;1,89E+13;0
1953119;3,44E+12;1
1954519;1,50E+13;0
1954519;2,78E+13;1
1957819;1,93E+13;0
1957819;2,42E+13;0
1957819;3,20E+13;0
1957819;1,54E+13;0
1957819;7,84E+12;0
1957819;8,79E+12;0
1957819;1,88E+13;1
454219;1,44E+13;1
454219;5,48E+12;1
1964419;2,41E+13;0
1964419;2,91E+13;1
1964519;3,03E+13;0
1964519;2,41E+13;0
1964519;2,91E+13;1
1964719;2,41E+13;0
1964719;3,03E+13;0
1964719;2,91E+13;1
1969719;2,25E+13;1
1983419;1,67E+13;0
1983419;3,28E+12;0
1983419;7,61E+12;0
1983419;1,05E+13;0
1983419;2,74E+13;1
1984119;3,16E+13;1
1994919;1,94E+13;1
1999519;1,74E+13;0
1999519;4,33E+12;0
1999519;4,88E+12;0
1999519;5,88E+12;0
1999519;1,81E+13;0
1999519;3,07E+13;1
2009419;5,16E+12;0
2009419;1,42E+13;0
2009419;2,36E+13;1
2023119;7,48E+12;0
2023119;7,80E+12;0
2023119;8,38E+12;0
2023119;7,91E+12;0
2023119;6,95E+12;1
2034519;2,90E+13;1
2036619;1,27E+13;1
478619;4,12E+13;1
2042219;4,07E+12;1
2042219;7,55E+12;1
2059819;2,00E+13;0
2059819;2,52E+13;0
2059819;2,36E+13;1
2061319;2,81E+13;1
2061919;7,52E+12;0
2061919;8,44E+12;1
2062619;7,52E+12;1
2065119;3,19E+13;1
2070019;2,65E+13;1
493219;9,91E+12;1
2082719;6,13E+11;1
498319;2,05E+13;0
498319;8,71E+12;0
498319;7,86E+12;1
2102419;5,16E+12;1
2129819;1,12E+13;1
2140219;2,71E+13;1
2150319;2,87E+13;1
2174419;1,71E+13;1
2174519;1,73E+13;1
2177519;8,77E+12;0
2177519;2,12E+13;0
2177519;2,40E+13;0
2177519;1,75E+13;0
2177519;1,74E+13;0
2177519;1,03E+13;0
2177519;1,06E+13;0
2177519;2,77E+13;1
2185119;5,94E+12;1
2191419;9,18E+12;1
2192019;9,18E+12;1
2193519;3,53E+13;1
528819;4,33E+12;1
2205919;1,73E+13;0
2205919;2,95E+13;0
2205919;2,26E+13;1
2243719;1,21E+13;1
2243819;1,21E+13;1
2246219;1,06E+13;1
2285319;7,48E+12;1
2289119;1,34E+13;1
2289719;2,03E+13;0
2289719;2,53E+13;1
2289819;2,53E+13;1
2306319;1,70E+13;1
2306419;2,70E+13;1
2312619;2,41E+13;0
2312619;2,91E+13;1
2321319;1,89E+13;1
2324819;2,22E+13;1
2324919;2,22E+13;1
2325019;9,37E+12;1
2326919;3,28E+12;1
2334319;2,68E+13;1
2346419;8,16E+12;1
2346419;1,08E+13;1
2346419;6,35E+13;1
2348119;2,11E+13;0
2348119;9,91E+12;1
2352219;8,16E+12;1
2352219;1,08E+13;1
2357419;3,19E+13;0
2357419;2,98E+13;1
2359019;1,99E+11;1
2359119;1,99E+11;1
2364819;8,61E+12;1
2370719;5,94E+12;0
2370719;1,57E+13;1
2382319;4,67E+11;1
2383019;2,68E+13;1
2383919;8,60E+12;1
2392219;3,19E+13;1
2396519;5,08E+11;1
656919;6,18E+12;1
2449319;2,79E+13;0
2449319;7,61E+12;0
2449319;1,34E+13;0
2449319;1,12E+13;0
2449319;2,03E+13;0
2449319;2,30E+13;0
2449319;2,67E+13;0
2449319;2,53E+13;1
2457619;1,71E+13;1
2458319;1,71E+13;1
2459019;2,34E+13;1
2461519;1,50E+13;1
2483519;2,61E+13;0
2483519;1,93E+13;0
2483519;3,37E+12;0
2483519;9,33E+12;0
2483519;2,77E+13;1
2484419;9,33E+12;0
2484419;1,35E+13;0
2484419;2,77E+13;1
2493719;9,25E+12;1
2496719;9,34E+12;1
2498019;8,67E+12;1
2508619;1,67E+13;0
2508619;3,03E+13;0
2508619;3,06E+13;1
2509219;3,03E+13;0
2509219;1,67E+13;0
2509219;3,06E+13;1
2510419;2,31E+13;1
2514519;1,09E+13;1
2521419;1,90E+13;0
2521419;1,38E+13;1
2525119;2,99E+13;0
2525119;1,75E+13;0
2525119;2,70E+13;0
2525119;2,71E+13;0
2525119;2,61E+13;0
2525119;2,05E+13;0
2525119;2,77E+13;1
2545319;1,66E+12;1
2545919;2,40E+13;0
2545919;1,15E+13;1
2571019;1,90E+13;1
2572019;2,78E+13;1
2582919;2,29E+13;1
2595119;1,54E+13;0
2595119;2,97E+13;1
2608719;5,94E+12;0
2608719;1,73E+13;1
2627719;1,89E+13;0
2627719;2,77E+13;0
2627719;9,13E+12;1
2637919;1,06E+13;1
2638019;1,06E+13;1
2648719;2,95E+13;1
2649219;2,91E+13;1
2649219;8,16E+12;1
2650619;2,66E+13;0
2650619;9,50E+12;0
2650619;1,35E+13;1
2667619;9,20E+12;1
723819;3,26E+13;1
2676219;2,63E+12;1
2714119;3,53E+13;1
734119;1,07E+13;1
734119;2,93E+13;1
735119;4,44E+12;1
2744919;2,43E+13;1
737719;1,07E+13;1
738319;2,74E+12;1
2760119;2,97E+13;1
2762019;1,03E+13;1
739819;2,11E+13;0
739819;1,28E+12;0
739819;2,35E+12;1
2778419;2,51E+13;1
2779219;2,42E+13;0
2779219;2,78E+13;0
2779219;8,79E+12;1
2788319;1,99E+11;0
2788319;2,03E+13;0
2788319;2,79E+13;0
2788319;3,56E+13;1
2791619;2,22E+13;1
2791619;2,17E+13;1
2793019;3,12E+13;1
749019;3,12E+13;1
749019;3,19E+13;1
2797819;2,16E+13;1
2799919;3,44E+12;1
2803519;1,08E+13;1
2803519;8,16E+12;1
2803519;6,35E+13;1
2804219;2,43E+13;1
2804619;2,80E+13;1
2808519;3,03E+13;1
2810019;2,79E+13;0
2810019;1,73E+13;0
2810019;2,91E+13;0
2810019;2,07E+12;1
2810119;8,78E+12;0
2810119;2,29E+13;0
2810119;2,91E+13;0
2810119;1,73E+13;0
2810119;2,95E+13;0
2810119;1,12E+13;0
2810119;2,07E+12;0
2810119;2,79E+13;0
2810119;2,19E+13;0
2810119;2,12E+13;1
2813319;6,35E+13;1
2813319;1,27E+13;1
2813319;8,16E+12;1
2822319;1,73E+13;0
2822319;9,22E+12;0
2822319;2,86E+12;0
2822319;8,77E+12;0
2822319;8,79E+12;1
2827219;5,08E+12;1
2827219;2,04E+13;1
